service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
NCT:PB0002362:26:1B:1,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1B:2,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:3,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:4,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:5,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:6,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:7,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:8,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:9,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:10,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:11,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:12,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:13,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:14,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:15,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:16,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:17,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:18,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:19,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:20,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:21,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:22,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:23,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:24,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:25,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:26,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:27,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:28,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:29,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:30,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:31,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:32,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:33,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:34,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:35,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:36,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:37,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:38,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:39,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:40,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:41,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:42,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:43,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:44,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:45,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:46,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:47,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:48,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:49,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:50,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:51,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:52,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:53,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:54,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:55,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:56,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:57,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:58,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:59,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:60,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:61,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:62,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:63,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:64,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:65,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:66,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:67,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:68,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:69,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:70,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:71,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:72,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:73,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:74,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:75,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:76,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:77,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:78,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:79,0,0,0,0,0,1,0,20251124,20251213
NCT:PB0002362:26:1:80,0,0,0,0,0,0,1,20251124,20251213
NCT:PB0002362:26:1:81,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:82,1,1,1,1,1,0,0,20251124,20251213
NCT:PB0002362:26:1:83,1,1,1,1,1,0,0,20251124,20251213
