route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
NCT:PB0002362:26:1,NCT,1,,,3,,FFFFFF,000000
NCT:PB0002362:26:1A,NCT,1A,,,3,,FFFFFF,000000
NCT:PB0002362:26:1B,NCT,1B,,,3,,FFFFFF,000000
NCT:PB0002362:26:1E,NCT,1E,,,3,,FFFFFF,000000
NCT:PB0002362:31:10,NCT,10,,,3,,FFFFFF,000000
NCT:PB0002362:31:10C,NCT,10C,,,3,,FFFFFF,000000
NCT:PB0002362:31:10X,NCT,10X,,,3,,FFFFFF,000000
NCT:PB0002362:32:11,NCT,11,,,3,,FFFFFF,000000
NCT:PB0002362:32:11B,NCT,11B,,,3,,FFFFFF,000000
NCT:PB0002362:32:11C,NCT,11C,,,3,,FFFFFF,000000
NCT:PB0002362:37:17,NCT,17,,,3,,FFFFFF,000000
NCT:PB0002362:41:24,NCT,24,,,3,,FFFFFF,000000
NCT:PB0002362:41:25,NCT,25,,,3,,FFFFFF,000000
NCT:PB0002362:41:25B,NCT,25B,,,3,,FFFFFF,000000
NCT:PB0002362:41:27,NCT,27,,,3,,FFFFFF,000000
NCT:PB0002362:43:77,NCT,77,,,3,,FFFFFF,000000
NCT:PB0002362:43:77C,NCT,77C,,,3,,FFFFFF,000000
NCT:PB0002362:58:28,NCT,28,,,3,,FFFFFF,000000
NCT:PB0002362:59:30,NCT,30,,,3,,FFFFFF,000000
NCT:PB0002362:62:35,NCT,35,,,3,,FFFFFF,000000
NCT:PB0002362:62:35A,NCT,35A,,,3,,FFFFFF,000000
NCT:PB0002362:62:35B,NCT,35B,,,3,,FFFFFF,000000
NCT:PB0002362:66:36,NCT,36,,,3,,FFFFFF,000000
NCT:PB0002362:66:36B,NCT,36B,,,3,,FFFFFF,000000
NCT:PB0002362:66:36U,NCT,36U,,,3,,FFFFFF,000000
NCT:PB0002362:68:48,NCT,48,,,3,,FFFFFF,000000
NCT:PB0002362:68:48X,NCT,48X,,,3,,FFFFFF,000000
NCT:PB0002362:72:56,NCT,56,,,3,,FFFFFF,000000
NCT:PB0002362:72:56B,NCT,56B,,,3,,FFFFFF,000000
NCT:PB0002362:72:57,NCT,57,,,3,,FFFFFF,000000
NCT:PB0002362:72:57X,NCT,57X,,,3,,FFFFFF,000000
NCT:PB0002362:72:59,NCT,59,,,3,,FFFFFF,000000
NCT:PB0002362:73:58,NCT,58,,,3,,FFFFFF,000000
NCT:PB0002362:73:58X,NCT,58X,,,3,,FFFFFF,000000
NCT:PB0002362:80:4,NCT,4,,,3,,FFFFFF,000000
NCT:PB0002362:107:53,NCT,53,,,3,,FFFFFF,000000
NCT:PB0002362:107:53B,NCT,53B,,,3,,FFFFFF,000000
NCT:PB0002362:107:54,NCT,54,,,3,,FFFFFF,000000
NCT:PB0002362:107:54B,NCT,54B,,,3,,FFFFFF,000000
NCT:PB0002362:128:8,NCT,8,,,3,,FFFFFF,000000
NCT:PB0002362:128:8B,NCT,8B,,,3,,FFFFFF,000000
NCT:PB0002362:128:9,NCT,9,,,3,,FFFFFF,000000
NCT:PB0002362:128:9B,NCT,9B,,,3,,FFFFFF,000000
NCT:PB0002362:132:34,NCT,34,,,3,,FFFFFF,000000
NCT:PB0002362:132:34C,NCT,34C,,,3,,FFFFFF,000000
NCT:PB0002362:135:68,NCT,68,,,3,,FFFFFF,000000
NCT:PB0002362:135:68A,NCT,68A,,,3,,FFFFFF,000000
NCT:PB0002362:135:68B,NCT,68B,,,3,,FFFFFF,000000
NCT:PB0002362:135:69,NCT,69,,,3,,FFFFFF,000000
NCT:PB0002362:135:69A,NCT,69A,,,3,,FFFFFF,000000
NCT:PB0002362:135:69B,NCT,69B,,,3,,FFFFFF,000000
NCT:PB0002362:157:43,NCT,43,,,3,,FFFFFF,000000
NCT:PB0002362:158:44,NCT,44,,,3,,FFFFFF,000000
NCT:PB0002362:158:44A,NCT,44A,,,3,,FFFFFF,000000
NCT:PB0002362:162:39,NCT,39,,,3,,FFFFFF,000000
NCT:PB0002362:163:89,NCT,89,,,3,,FFFFFF,000000
NCT:PB0002362:163:89A,NCT,89A,,,3,,FFFFFF,000000
NCT:PB0002362:164:15,NCT,15,,,3,,FFFFFF,000000
NCT:PB0002362:164:16,NCT,16,,,3,,FFFFFF,000000
NCT:PB0002362:164:16C,NCT,16C,,,3,,FFFFFF,000000
NCT:PB0002362:165:87,NCT,87,,,3,,FFFFFF,000000
NCT:PB0002362:165:88,NCT,88,,,3,,FFFFFF,000000
NCT:PB0002362:167:A2,NCT,A2,,,3,,FFFFFF,000000
NCT:PB0002362:171:70,NCT,70,,,3,,FFFFFF,000000
NCT:PB0002362:171:70B,NCT,70B,,,3,,FFFFFF,000000
NCT:PB0002362:171:71,NCT,71,,,3,,FFFFFF,000000
NCT:PB0002362:171:71B,NCT,71B,,,3,,FFFFFF,000000
NCT:PB0002362:172:78,NCT,78,,,3,,FFFFFF,000000
NCT:PB0002362:173:79,NCT,79,,,3,,FFFFFF,000000
NCT:PB0002362:173:79A,NCT,79A,,,3,,FFFFFF,000000
NCT:PB0002362:173:79B,NCT,79B,,,3,,FFFFFF,000000
NCT:PB0002362:175:N34,NCT,N34,,,3,,FFFFFF,000000
NCT:PB0002362:176:N4,NCT,N4,,,3,,FFFFFF,000000
NCT:PB0002362:188:40,NCT,40,,,3,,FFFFFF,000000
NCT:PB0002362:188:40B,NCT,40B,,,3,,FFFFFF,000000
NCT:PB0002362:188:40X,NCT,40X,,,3,,FFFFFF,000000
NCT:PB0002362:188:41,NCT,41,,,3,,FFFFFF,000000
NCT:PB0002362:189:42,NCT,42,,,3,,FFFFFF,000000
NCT:PB0002362:193:49,NCT,49,,,3,,FFFFFF,000000
NCT:PB0002362:193:49A,NCT,49A,,,3,,FFFFFF,000000
NCT:PB0002362:193:49B,NCT,49B,,,3,,FFFFFF,000000
NCT:PB0002362:193:49X,NCT,49X,,,3,,FFFFFF,000000
NCT:PB0002362:195:3,NCT,3,,,3,,FFFFFF,000000
NCT:PB0002362:195:3A,NCT,3A,,,3,,FFFFFF,000000
NCT:PB0002362:200:26,NCT,26,,,3,,FFFFFF,000000
NCT:PB0002362:200:26A,NCT,26A,,,3,,FFFFFF,000000
NCT:PB0002362:201:N26,NCT,N26,,,3,,FFFFFF,000000
NCT:PB0002362:202:61,NCT,61,,,3,,FFFFFF,000000
NCT:PB0002362:203:60,NCT,60,,,3,,FFFFFF,000000
NCT:PB0002362:205:5,NCT,5,,,3,,FFFFFF,000000
NCT:PB0002362:205:5A,NCT,5A,,,3,,FFFFFF,000000
NCT:PB0002362:205:6,NCT,6,,,3,,FFFFFF,000000
NCT:PB0002362:206:7,NCT,7,,,3,,FFFFFF,000000
NCT:PB0002362:207:45,NCT,45,,,3,,FFFFFF,000000
