stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
260007226,,"Loughborough Endowed Schs",,52.766194,-1.199423,,,0,,,0
260007307,,"Gordon Road",,52.780676,-1.19932,,,0,,,0
260007312,,"Thomas Cook Place",,52.780102,-1.198204,,,0,,,0
260007334,,"Gordon Road",,52.78083,-1.199407,,,0,,,0
260007337,,"Aumberry Gap",,52.770387,-1.202563,,,0,,,0
260007342,,"The Coneries",,52.773834,-1.201833,,,0,,,0
260007343,,"The Greyhound",,52.775492,-1.199771,,,0,,,0
260007346,,"The Greyhound",,52.775464,-1.199535,,,0,,,0
260007348,,"Loughborough Station, stand A",,52.7791812,-1.1965369,,,0,,,0
260007423,,"Beacon Bingo",,52.773194,-1.202941,,,0,,,0
260007451,,"Loughborough Station, stand C",,52.777552,-1.196285,,,0,,,0
260007454,,"Loughborough, Baxter Gate BA",,52.772176,-1.205272,,,0,,,0
260007462,,"Loughborough Station, stand D",,52.7799298,-1.1982133,,,0,,,0
260007487,,"Meadow Lane",,52.7811,-1.200899,,,0,,,0
3300RU0002,,"County Hall",,52.93643,-1.13475,,,0,,,0
3300RU0003,,"County Hall",,52.936274,-1.134351,,,0,,,0
3300RU0005,,"Balmoral Avenue",,52.933352,-1.13679,,,0,,,0
3300RU0008,,"Wilford Lane, ROKO",,52.926059,-1.152733,,,0,,,0
3300RU0010,,"Foxfield Way",,52.92733,-1.149331,,,0,,,0
3300RU0014,,"Little Bounds",,52.931707,-1.139233,,,0,,,0
3300RU0015,,"Little Bounds",,52.931807,-1.139365,,,0,,,0
3300RU0016,,"Bruce Drive",,52.930908,-1.141927,,,0,,,0
3300RU0017,,"Bruce Drive",,52.930555,-1.142811,,,0,,,0
3300RU0018,,"Gresham Close",,52.929462,-1.145823,,,0,,,0
3300RU0019,,"Foxfield Way",,52.92756,-1.148836,,,0,,,0
3300RU0020,,"Gresham Close",,52.929469,-1.14557,,,0,,,0
3300RU0318,,"The Old School House",,52.798615,-1.196164,,,0,,,0
3300RU0339,,"E.Leake, Lantern La",,52.8367644,-1.1785213,,,0,,,0
3300RU0342,,"Gypsum Way",,52.859417,-1.201888,,,0,,,0
3300RU0343,,"Ridgeway Plantation",,52.851203,-1.189164,,,0,,,0
3300RU0344,,"Ridgeway Plantation",,52.851286,-1.1894,,,0,,,0
3300RU0345,,"Highthorn Farm",,52.848499,-1.186749,,,0,,,0
3300RU0346,,"Bunny Lane",,52.846817,-1.183959,,,0,,,0
3300RU0347,,"Gypsum Works",,52.843,-1.180675,,,0,,,0
3300RU0349,,"St.Mary's Cres",,52.83951,-1.179093,,,0,,,0
3300RU0351,,"E.Leake, Lantern La",,52.835952,-1.178062,,,0,,,0
3300RU0352,,"Stonebridge Drive",,52.83452,-1.177718,,,0,,,0
3300RU0359,,"St.Mary's Cres",,52.839725,-1.178955,,,0,,,0
3300RU0360,,"Eyres Lane",,52.86226,-1.205,,,0,,,0
3300RU0364,,"Nottingham Road",,52.874464,-1.201701,,,0,,,0
3300RU0365,,"Bidwell Crescent",,52.871087,-1.202135,,,0,,,0
3300RU0366,,"Wallace Street",,52.870162,-1.203637,,,0,,,0
